"Tabela 987 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e faixas de pessoal ocupado total"
"Faixas de pessoal ocupado";"Total"
"Unidade da Federação";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Variável X Ano"
;;"Número de empresas e outras organizações (Unidades)";;;;;;;"Pessoal ocupado total (Pessoas)";;;;;;;"Pessoal ocupado assalariado (Pessoas)";;;;;;;"Salários e outras remunerações (Mil Reais)";;;;;;;"Salário médio mensal (Salários mínimos)"
"Pará";"F Construção";1584;1724;1912;2258;2572;2862;3090;33124;36324;38884;41992;57825;69779;78658;30616;33653;35896;38481;54019;65316;73856;272873;323283;389037;423028;590715;849534;1342132;2,0;2,1;2,1;2,0;1,9;2,1;2,3
"Pará";"G Comércio, reparação de veículos automotores e motocicletas";27157;28702;31062;33052;35338;35288;36124;146297;164237;179724;189751;208445;224418;240418;113480;126015;138711;145892;163287;177626;192527;799225;965758;1170505;1341955;1633701;1939308;2391802;1,6;1,6;1,6;1,6;1,6;1,6;1,6
"Pará";"H Transporte, armazenagem e correio";1329;1517;1642;1735;1904;2049;2159;22957;23970;25166;27147;31271;33937;35374;20874;21425;22367;24146;28094;30360;31587;261783;274421;315103;300151;387544;471956;521673;2,9;2,6;2,7;2,2;2,3;2,3;2,1
"Pará";"I Alojamento e alimentação";1732;1866;2090;2254;2583;2699;2873;14790;16775;18753;19717;21981;24331;25959;12634;14302;16030;16806;18788;20787;22228;69603;88605;108218;125969;154014;189618;234120;1,3;1,3;1,3;1,3;1,3;1,3;1,3
"Amapá";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";41;43;45;46;46;56;46;531;647;408;178;190;333;396;470;586;345;107;106;248;299;3612;3886;4527;1690;1131;2454;2541;1,5;1,6;1,6;1,5;1,2;1,3;1,3
"Amapá";"B Indústrias extrativas";19;21;26;30;34;35;28;801;1315;757;403;641;1128;1899;779;1276;710;340;584;1071;1844;15209;23311;25357;11024;10590;18954;53231;3,7;4,5;7,4;4,2;3,7;3,1;3,9
"Amapá";"C Indústrias de transformação";305;332;355;388;427;452;413;2962;3318;3519;3736;3861;4159;3974;2552;2812;3094;3268;3331;3593;3446;25041;30342;34729;35779;37349;39590;41758;2,2;2,2;2,1;2,0;1,7;1,8;1,5
"Amapá";"D Eletricidade e gás";3;4;4;3;3;3;2;154;690;851;821;840;855;X;149;684;845;820;832;851;X;6464;12282;19196;21724;28093;33905;X;9,1;5,0;4,5;4,3;4,9;5,5;X
"Amapá";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";12;12;12;16;23;22;22;289;311;304;344;343;391;444;269;291;289;325;314;358;410;7112;7559;9294;10650;11856;12857;14319;5,7;5,2;5,8;5,4;5,4;4,9;4,7
"Amapá";"F Construção";287;292;311;365;444;449;417;2793;3379;3041;4074;5117;6119;6032;2386;2906;2606;3530;4461;5458;5395;19219;22220;26242;33283;41689;47612;70339;1,8;1,6;1,9;1,9;1,7;1,6;1,4
